ID,LATITUDE,LONGITUDE,CATEGORY,STATES_NAME_EN,REGION_EN,NAME_EN
995,44.61083333,33.49138889,Cultural,Ukraine,Europe and North America,Ancient City of Tauric Chersonese and its Chora
996,24.06777778,55.80638889,Cultural,United Arab Emirates,Arab States,"Cultural Sites of Al Ain (Hafit, Hili, Bidaa Bint Saud and Oases Areas)"
997,55.25,-6.485277778,Natural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Giant's Causeway and Causeway Coast
869,40.94847222,-4.11675,Cultural,Spain,Europe and North America,Old Town of Segovia and its Aqueduct
870,43.36262,-5.84303,Cultural,Spain,Europe and North America,Monuments of Oviedo and the Kingdom of the Asturias
871,37.87919444,-4.779722222,Cultural,Spain,Europe and North America,Historic Centre of Cordoba
872,37.17667,-3.59444,Cultural,Spain,Europe and North America,"Alhambra, Generalife and Albayzín, Granada"
873,42.34073333,-3.704011111,Cultural,Spain,Europe and North America,Burgos Cathedral
874,40.58175,-4.126416667,Cultural,Spain,Europe and North America,"Monastery and Site of the Escurial, Madrid"
875,41.41338,2.152972,Cultural,Spain,Europe and North America,Works of Antoni Gaudí
876,42.88076,-8.54468,Cultural,Spain,Europe and North America,Santiago de Compostela (Old Town)
877,40.65645,-4.70012,Cultural,Spain,Europe and North America,Old Town of Ávila with its Extra-Muros Churches
998,54.77472222,-1.576111111,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Durham Castle and Cathedral
999,52.62638889,-2.472777778,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Ironbridge Gorge
1000,54.11611111,-1.573055556,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Studley Royal Park including the Ruins of Fountains Abbey
1001,51.17888889,-1.825277778,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,"Stonehenge, Avebury and Associated Sites"
1002,53.13972222,-4.276944444,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Castles and Town Walls of King Edward in Gwynedd
1003,57.81722222,-8.576666667,Mixed,United Kingdom of Great Britain and Northern Ireland,Europe and North America,St Kilda
1004,54.47661111,-3.082416667,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,The English Lake District
1005,51.84194444,-1.361388889,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Blenheim Palace
1006,51.49972222,-0.128611111,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,Palace of Westminster and Westminster Abbey including Saint Margaret⿿s Church
1007,51.38138889,-2.358611111,Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,City of Bath
1106,13.69111111,-15.5225,Cultural,"Gambia (the),Senegal",Africa,Stone Circles of Senegambia
1107,51.57930556,14.72644444,Cultural,"Germany,Poland",Europe and North America,Muskauer Park / Park Mużakowski
1109,41.89022222,12.49230556,Cultural,"Holy See,Italy",Europe and North America,"Historic Centre of Rome, the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura"
