Country,Year_1990,Year_2000,Year_2010,Year_2015,Year_2020,Land_Area_2020,Forest_portion_land_area_2020,Deforestation_2015_2020,Forest_Area_Affected_by_Fire
Norway,12132,12113,12102,12141,12180,30413,40.05,5.82,0.14
Oman,3,3,3,3,2.5,30950,0.01,0.00,0.00
Pakistan,4986.79,4511.26,4093.73,3932.6,3725.9,77088,4.83,0.00,0.00
Palau,38.15,39.58,40.56,40.99,41.41,46,90.02,0.00,0.00
Panama,4607.4,4442.14,4327.99,4270.91,4213.84,7434,56.68,12.49,2.02
Papua New Guinea,36399.68,36277.97,36178.89,36024.42,35855.76,45286,79.18,33.53,3.92
Paraguay,25545.86,22991.65,19570.21,17498.94,16102.26,39730,40.53,279.34,0.00
Peru,76448.54,75297.83,74049.8,73194.53,72330.37,128000,56.51,179.09,22.41
Philippines,7778.81,7309.26,6839.72,7014.15,7188.59,29817,24.11,0.00,2.97
Pitcairn,3.5,3.5,3.5,3.5,3.5,5,70,0.00,0.00
Poland,8882,9059,9329,9420,9483,30619,30.97,0.77,5.51
Portugal,3399,3281,3252,3312,3312,9161,36.15,0.00,23.50
Puerto Rico,320.33,429.15,491.45,493.88,496.33,887,55.96,0.00,0.00
Qatar,0,0,0,0,0,1161,0,0.00,0.00
Republic of Korea,6551,6476,6387,6337,6287,9744.5,64.52,10.00,0.42
Republic of Moldova,325.4,344.4,374.5,386.4,386.5,3288,11.75,0.34,0.35
Réunion,87.95,90.97,93.99,96.04,98.44,251,39.22,0.00,0.00
Romania,6371,6366,6515,6900.96,6929.05,23008,30.12,0.02,1.67
Russian Federation,808949.9,809268.5,815135.6,814930.46,815311.6,1637687,49.78,0.00,2748.90
Rwanda,317,287,265,270,276,2467,11.19,0.00,0.00
Saint Barthélemy,0.17,0.17,0.17,0.17,0.17,2,8.5,0.00,0.00
Saint Helena,2,2,2,2,2,39,5.13,0.00,0.00
Saint Kitts and Nevis,11,11,11,11,11,26,42.31,0.00,0.00
Saint Lucia,21.27,21.01,20.77,20.77,20.77,61,34.05,0.00,0.00
Saint Martin (French Part),1.24,1.24,1.24,1.24,1.24,5,24.8,0.00,0.00
Saint Pierre and Miquelon,1.9,1.67,1.44,1.33,1.22,23,5.3,0.00,0.00
Saint Vincent and the Grenadines,27.54,28.54,28.54,28.54,28.54,39,73.18,0.00,0.00
Samoa,176.13,171.31,166.49,164.07,161.67,283,57.13,0.00,0.00
San Marino,1,1,1,1,1,6,16.67,0.00,0.00
Sao Tome and Principe,58.62,58.36,58.1,55,51.9,96,54.06,0.62,0.00
Saudi Arabia,977,977,977,977,977,214969,0.45,0.00,0.00
Senegal,9303.16,8853.16,8468.16,8268.16,8068.16,19253,41.91,51.00,0.00
Serbia,2313,2460,2713,2719.53,2722.65,8746,31.13,0.04,1.85
Seychelles,33.7,33.7,33.7,33.7,33.7,46,73.26,0.00,0.00
Sierra Leone,3126.7,2929.43,2732.16,2633.53,2534.88,7218,35.12,0.00,0.00
Singapore,14.83,17.01,17.74,16.47,15.57,71,21.93,0.24,0.00
Sint Maarten (Dutch part),0.37,0.37,0.37,0.37,0.37,3.4,10.88,0.00,0.00
Slovakia,1902.48,1901.41,1917.91,1921.75,1925.9,4808,40.06,0.00,0.35
Slovenia,1188,1233,1247,1248,1237.83,2014,61.46,2.03,0.06
Solomon Islands,2544.91,2537.6,2530.28,2526.62,2522.97,2799,90.14,0.00,0.00
Somalia,8282.5,7515,6747.5,6363.75,5980,62734,9.53,76.75,0.00
South Africa,18142.09,17778.09,17414.09,17232.09,17050.09,121309,14.06,199.00,11.96
South Sudan,7157,7157,7157,7157,7157,63173,11.33,0.00,0.00
Spain,13904.66,17093.93,18545.34,18551.18,18572.17,49966.1,37.17,3.74,32.88
Sri Lanka,2350.33,2166.42,2103.62,2128.82,2113.02,6271,33.7,0.00,0.00
State of Palestine,9.08,9.08,9.95,10.14,10.14,602,1.68,0.00,0.00
Sudan,23570.31,21826.16,20081.17,19209.93,18359.55,186665,9.84,264.00,0.00
Suriname,15377.63,15340.87,15299.86,15251.67,15196.29,15600,97.41,11.65,2.50
Svalbard and Jan Mayen Islands,0,0,0,0,0,6100,0,0.00,0.00
Sweden,28063,28163,28073,27980,27980,40731,68.69,13.05,0.35
Switzerland,1153.5,1196.18,1234.72,1251.91,1269.11,3952,32.11,1.34,0.02
Syrian Arab Republic,372.08,432.08,492.08,522.08,522.08,18363,2.84,0.00,0.00
Tajikistan,408,410,410,421.8,423.8,13879,3.05,0.00,0.00
Thailand,19361,18998,20073,20061,19873,51089,38.9,37.60,16.58
Timor-Leste,963.1,949.1,935.1,928.1,921.1,1487,61.94,0.00,0.00
Togo,1361.66,1268.46,1238.87,1224.07,1209.27,5439,22.23,4.96,0.00
Tokelau,0,0,0,0,0,1,0,0.00,0.00
Tonga,8.95,8.95,8.95,8.95,8.95,72,12.43,0.00,0.00
Trinidad and Tobago,242.06,236.65,232.41,230.29,228.19,513,44.48,0.00,1.50
Tunisia,643.98,667.85,687.43,695.08,702.73,15536,4.52,0.57,5.04
Turkey,19783.48,20148.35,21083.08,21630.3,22220.36,76963,28.87,1.17,3.22
Turkmenistan,4127,4127,4127,4127,4127,46993,8.78,0.00,0.00
Turks and Caicos Islands,10.52,10.52,10.52,10.52,10.52,95,11.07,0.00,0.00
Tuvalu,1,1,1,1,1,3,33.33,0.00,0.00
Uganda,3575.47,3162.95,2750.42,2544.16,2337.9,20052,11.66,51.09,0.00
Ukraine,9274,9510,9548,9657,9690,57929,16.73,0.10,14.70
United Arab Emirates,245,309.43,317.3,317.3,317.3,7102,4.47,0.00,0.00
United Kingdom of Great Britain and Northern Ireland,2778,2954,3059,3155,3190,24193,13.19,0.00,1.00
United Republic of Tanzania,57390.01,53670.01,49950.01,48090,45745,88580,51.64,474.00,587.30
United States of America,302450,303536,308720,310095,309795,914742,33.87,0.00,4097.65
United States Virgin Islands,24.54,20.47,18.43,19.16,19.91,35,56.89,0.00,0.00
Uruguay,798,1369,1731.3,1920,2031,17502,11.6,0.00,0.00
Uzbekistan,2549.37,2961.46,3349.6,3549.4,3689.66,42540,8.67,14.15,0.17
Vanuatu,442.3,442.3,442.3,442.3,442.3,1219,36.28,0.00,0.00
Venezuela (Bolivarian Republic of),52026,49151,47505,46683,46230.9,88205,52.41,108.29,0.00
Viet Nam,9375.96,11784.1,13388.06,14061.86,14643.09,31007,47.23,1.59,0.00
Wallis and Futuna Islands,5.8,5.81,5.82,5.83,5.83,14,41.64,0.00,0.00
Western Sahara,665.1,669.31,665.11,664.7,665.07,26600,2.5,0.00,0.00
Yemen,549,549,549,549,549,52797,1.04,0.00,0.00
Zambia,47412,47054,46696,45755.1,44814.03,74339,60.28,189.71,15077.00
Zimbabwe,18826.68,18365.98,17905.28,17674.93,17444.58,38685,45.09,46.07,2830.00
